271.137177 -24.312374 J18043292-2418445
271.101003 -24.308685 J18042424-2418312
271.065558 -24.317150 J18041573-2419017
271.113679 -24.329374 J18042728-2419457
271.107177 -24.330456 J18042572-2419496
271.154819 -24.357410 J18043715-2421266
271.137957 -24.354322 J18043310-2421155
271.155358 -24.393709 J18043728-2423373
271.040799 -24.335827 J18040979-2420089
271.066097 -24.368427 J18041586-2422063
271.088932 -24.393223 J18042134-2423356
271.085658 -24.415447 J18042055-2424556
271.055700 -24.414236 J18041336-2424512
271.043892 -24.448875 J18041053-2426559
271.032636 -24.386738 J18040783-2423122
271.019758 -24.383652 J18040474-2423011
271.012004 -24.361107 J18040288-2421399
271.000135 -24.364967 J18040003-2421538
270.995029 -24.394894 J18035880-2423416
271.012828 -24.422037 J18040307-2425193
270.967562 -24.383121 J18035221-2422592
270.975090 -24.445868 J18035402-2426451
270.952005 -24.470436 J18034848-2428135
270.948883 -24.418812 J18034773-2425077
